trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
344,False,"{'a': 0.9, 'e': 8.450513791238508e-06}",20,13,10.049382131604055,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.9, 'e': 8.401596303297626e-06}",25,17,14.201284224116996,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.9, 'e': 8.353102342209896e-06}",25,15,19.06414424613841,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.9, 'e': 8.305027032862993e-06}",20,13,10.751316018465436,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.9, 'e': 8.25736557008852e-06}",20,8,23.41999600683245,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.9, 'e': 8.210113217461269e-06}",20,7,27.06532317792009,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.9, 'e': 8.163265306122448e-06}",25,11,25.345708301629085,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.9, 'e': 8.11681723362635e-06}",25,14,20.314793958912503,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.9, 'e': 8.070764462809918e-06}",25,17,16.542257952124466,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.9, 'e': 8.025102520684701e-06}",20,11,17.584305431221896,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
354,False,"{'a': 0.9, 'e': 7.979826997350698e-06}",30,16,31.94958079086883,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.9, 'e': 7.934933544931562e-06}",20,9,22.150138677987297,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.9, 'e': 7.89041787653074e-06}",20,11,17.49499918331772,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.9, 'e': 7.846275765208045e-06}",20,11,18.465758826598464,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.9, 'e': 7.802503042976187e-06}",20,0,28.635005968492198,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
359,False,"{'a': 0.9, 'e': 7.759095599816886e-06}",20,12,13.165384469251169,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.9, 'e': 7.71604938271605e-06}",30,13,28.4165128011061,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.9, 'e': 7.673360394717659e-06}",20,13,10.462871366015206,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.9, 'e': 7.631024693995909e-06}",30,8,33.79490950308452,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.9, 'e': 7.5890383929452295e-06}",35,23,22.730720078394167,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.9, 'e': 7.547397657287767e-06}",20,3,28.199793621571573,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.9, 'e': 7.5060987051979735e-06}",30,16,28.200914844271228,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.9, 'e': 7.465137806443907e-06}",25,7,-7.148059004607693,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
367,False,"{'a': 0.9, 'e': 7.4245112815448925e-06}",20,8,23.23208520212397,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
368,False,"{'a': 0.9, 'e': 7.38421550094518e-06}",20,0,31.608315154896086,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
369,False,"{'a': 0.9, 'e': 7.344246884203259e-06}",20,6,22.65878711314251,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
370,False,"{'a': 0.9, 'e': 7.3046018991964936e-06}",20,13,12.382011446952284,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
371,False,"{'a': 0.9, 'e': 7.2652770613407345e-06}",30,13,30.62725265237183,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
372,False,"{'a': 0.9, 'e': 7.226268932824604e-06}",35,3,50.3677074403034,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 0}",1
373,False,"{'a': 0.9, 'e': 7.187574121858132e-06}",30,0,46.151825750890154,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
374,False,"{'a': 0.9, 'e': 7.149189281935428e-06}",20,0,28.714542847990902,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
375,False,"{'a': 0.9, 'e': 7.111111111111111e-06}",25,7,33.89068321431781,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
376,False,"{'a': 0.9, 'e': 7.0733363512901765e-06}",30,17,22.893353630140393,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
377,False,"{'a': 0.9, 'e': 7.035861787531046e-06}",20,13,16.456182871946922,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
378,False,"{'a': 0.9, 'e': 6.9986842473614964e-06}",25,13,23.767894002947,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
379,False,"{'a': 0.9, 'e': 6.961800600107212e-06}",20,1,26.958821229648745,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
380,False,"{'a': 0.9, 'e': 6.925207756232687e-06}",25,16,18.997245385405893,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
381,False,"{'a': 0.9, 'e': 6.888902666694223e-06}",20,12,10.888046452601426,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
382,False,"{'a': 0.9, 'e': 6.852882322304762e-06}",20,9,19.35218723185658,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
383,False,"{'a': 0.9, 'e': 6.817143753110322e-06}",25,14,21.21769926689934,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
384,False,"{'a': 0.9, 'e': 6.781684027777777e-06}",20,9,20.39471165851191,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
385,False,"{'a': 0.9, 'e': 6.7465002529937596e-06}",30,14,31.716155469759194,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
386,False,"{'a': 0.9, 'e': 6.71158957287444e-06}",20,12,14.654421882143646,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
387,False,"{'a': 0.9, 'e': 6.676949168385981e-06}",30,18,23.06049729723523,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.9, 'e': 6.642576256775428e-06}",30,19,21.701987181259756,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.9, 'e': 6.608468091011823e-06}",25,11,15.439468948466681,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
390,False,"{'a': 0.9, 'e': 6.574621959237344e-06}",30,12,35.68656254372519,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.9, 'e': 6.541035184228256e-06}",20,6,25.100854757890215,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.9, 'e': 6.507705122865473e-06}",25,12,23.09904772269261,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.9, 'e': 6.47462916561454e-06}",20,7,17.955037961462093,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.9, 'e': 6.441804736014842e-06}",30,18,23.557531809380862,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.9, 'e': 6.409229290177856e-06}",30,22,16.548275192868346,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.9, 'e': 6.376900316294256e-06}",20,7,22.542646291825164,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.9, 'e': 6.344815334149699e-06}",35,19,30.09999857615712,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.9, 'e': 6.312971894649125e-06}",25,8,28.677504903968988,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.9, 'e': 6.281367579349376e-06}",35,1,60.72659473141564,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.9, 'e': 6.25e-06}",20,3,29.392097327839714,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.9, 'e': 6.218866798092052e-06}",20,3,29.16477229272902,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.9, 'e': 6.187965644414742e-06}",25,13,20.806705500289446,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.9, 'e': 6.157294238619781e-06}",20,12,16.29700912483376,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.9, 'e': 6.126850308793256e-06}",20,11,17.218376675315074,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.9, 'e': 6.0966316110349035e-06}",20,1,28.768650366374935,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.9, 'e': 6.066635929044626e-06}",20,16,8.257606831786404,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.9, 'e': 6.036861073716111e-06}",25,8,26.100419155956764,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.9, 'e': 6.007304882737409e-06}",20,8,23.084168303804596,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.9, 'e': 5.977965220198349e-06}",25,18,12.298800367965352,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.9, 'e': 5.94883997620464e-06}",25,0,37.746082931755744,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
411,False,"{'a': 0.9, 'e': 5.919927066498541e-06}",20,10,18.97805209105664,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.9, 'e': 5.891224432085965e-06}",30,18,25.063810517459768,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.9, 'e': 5.8627300388699e-06}",20,0,32.501884740940795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
414,False,"{'a': 0.9, 'e': 5.834441877290019e-06}",20,2,28.95559044323434,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
